time,abgw_detached_files,instance
25_05_15:00,0,10.253.40.36:44444
25_05_15:05,0,10.253.40.36:44444
25_05_15:10,0,10.253.40.36:44444
25_05_15:15,0,10.253.40.36:44444
25_05_15:20,0,10.253.40.36:44444
25_05_15:25,0,10.253.40.36:44444
25_05_15:30,0,10.253.40.36:44444
25_05_15:35,0,10.253.40.36:44444
25_05_15:40,0,10.253.40.36:44444
25_05_15:45,0,10.253.40.36:44444
25_05_15:50,0,10.253.40.36:44444
25_05_15:55,0,10.253.40.36:44444
25_05_16:00,0,10.253.40.11:44444
25_05_16:05,0,10.253.40.11:44444
25_05_16:10,0,10.253.40.11:44444
25_05_16:15,0,10.253.40.11:44444
25_05_16:20,4,10.253.40.11:44444
25_05_16:25,0,10.253.40.11:44444
25_05_16:30,0,10.253.40.11:44444
25_05_16:35,0,10.253.40.11:44444
25_05_16:40,0,10.253.40.11:44444
25_05_16:45,1,10.253.40.11:44444
25_05_16:50,0,10.253.40.11:44444
25_05_16:55,0,10.253.40.11:44444
25_05_16:00,0,10.253.40.12:44444
25_05_16:05,0,10.253.40.12:44444
25_05_16:10,0,10.253.40.12:44444
25_05_16:15,0,10.253.40.12:44444
25_05_16:20,0,10.253.40.12:44444
25_05_16:25,0,10.253.40.12:44444
25_05_16:30,0,10.253.40.12:44444
25_05_16:35,0,10.253.40.12:44444
25_05_16:40,0,10.253.40.12:44444
25_05_16:45,0,10.253.40.12:44444
25_05_16:50,0,10.253.40.12:44444
25_05_16:55,1,10.253.40.12:44444
25_05_16:00,1,10.253.40.13:44444
25_05_16:05,0,10.253.40.13:44444
25_05_16:10,0,10.253.40.13:44444
25_05_16:15,0,10.253.40.13:44444
25_05_16:20,0,10.253.40.13:44444
25_05_16:25,0,10.253.40.13:44444
25_05_16:30,1,10.253.40.13:44444
25_05_16:35,0,10.253.40.13:44444
25_05_16:40,1,10.253.40.13:44444
25_05_16:45,0,10.253.40.13:44444
25_05_16:50,0,10.253.40.13:44444
25_05_16:55,0,10.253.40.13:44444
25_05_16:00,0,10.253.40.14:44444
25_05_16:05,0,10.253.40.14:44444
25_05_16:10,0,10.253.40.14:44444
25_05_16:15,0,10.253.40.14:44444
25_05_16:20,0,10.253.40.14:44444
25_05_16:25,0,10.253.40.14:44444
25_05_16:30,0,10.253.40.14:44444
25_05_16:35,0,10.253.40.14:44444
25_05_16:40,0,10.253.40.14:44444
25_05_16:45,0,10.253.40.14:44444
25_05_16:50,0,10.253.40.14:44444
25_05_16:55,0,10.253.40.14:44444
25_05_16:00,0,10.253.40.15:44444
25_05_16:05,0,10.253.40.15:44444
25_05_16:10,0,10.253.40.15:44444
25_05_16:15,0,10.253.40.15:44444
25_05_16:20,0,10.253.40.15:44444
25_05_16:25,0,10.253.40.15:44444
25_05_16:30,0,10.253.40.15:44444
25_05_16:35,0,10.253.40.15:44444
25_05_16:40,0,10.253.40.15:44444
25_05_16:45,0,10.253.40.15:44444
25_05_16:50,0,10.253.40.15:44444
25_05_16:55,0,10.253.40.15:44444
25_05_16:00,0,10.253.40.17:44444
